Date,Open,High,Low,Close,Volume
2018-01-01,29.668,29.713,29.666,29.694,342
2018-01-02,29.684,29.813,29.516,29.623,7913
2018-01-03,29.634,29.635,29.485,29.593,7435
2018-01-04,29.595,29.641,29.515,29.585,4393
2018-01-05,29.596,29.597,29.435,29.457,0
2018-01-08,29.508,29.585,29.385,29.519,6594
2018-01-09,29.52,29.652,29.455,29.543,10841
2018-01-10,29.543,29.655,29.525,29.595,8405
2018-01-11,29.594,29.667,29.515,29.603,7550
2018-01-12,29.627,29.678,29.497,29.611,0
2018-01-15,29.605,29.609,29.465,29.537,5074
2018-01-16,29.546,29.618,29.485,29.551,6731
2018-01-17,29.55,29.605,29.475,29.557,7507
2018-01-18,29.56,29.599,29.479,29.559,7344
2018-01-19,29.564,29.581,29.323,29.368,0
2018-01-22,29.488,29.498,29.169,29.209,9795
2018-01-23,29.207,29.324,29.075,29.222,10674
2018-01-24,29.214,29.307,29.076,29.111,12333
2018-01-25,29.113,29.16,28.985,29.117,12218
2018-01-26,29.098,29.173,29.015,29.089,0
2018-01-29,29.125,29.233,29.035,29.201,8106
2018-01-30,29.207,29.294,29.151,29.239,9920
2018-01-31,29.243,29.266,29.082,29.176,11024
2018-02-01,29.152,29.297,29.085,29.17,10414
2018-02-02,29.203,29.421,29.167,29.349,0
2018-02-05,29.38,29.424,29.215,29.41,8499
2018-02-06,29.398,29.449,29.195,29.209,11970
2018-02-07,29.221,29.378,29.175,29.36,11617
2018-02-08,29.37,29.469,29.215,29.444,11255
2018-02-09,29.457,29.497,29.306,29.37,0
2018-02-12,29.301,29.375,29.248,29.309,7572
2018-02-13,29.308,29.41,29.262,29.293,9724
2018-02-14,29.293,29.358,29.052,29.065,11141
2018-02-15,29.069,29.204,28.954,28.964,8590
2018-02-16,28.963,29.126,28.936,29.076,0
2018-02-19,29.087,29.153,29.03,29.037,5052
2018-02-20,29.038,29.256,28.985,29.2,11511
2018-02-21,29.185,29.339,29.097,29.233,10259
2018-02-22,29.241,29.32,29.186,29.297,11637
2018-02-23,29.285,29.303,29.18,29.25,0
2018-02-26,29.255,29.293,29.175,29.214,11061
2018-02-27,29.209,29.308,29.13,29.293,11564
2018-02-28,29.284,29.351,29.21,29.336,10897
2018-03-01,29.345,29.391,29.282,29.303,12021
2018-03-02,29.325,29.358,29.233,29.282,0
2018-03-05,29.285,29.334,29.22,29.273,9781
2018-03-06,29.294,29.327,29.183,29.21,12943
2018-03-07,29.216,29.315,29.209,29.267,12241
2018-03-08,29.271,29.392,29.252,29.34,12157
2018-03-09,29.346,29.365,29.231,29.254,0
2018-03-12,29.254,29.325,29.245,29.271,8864
2018-03-13,29.298,29.313,29.208,29.263,11980
2018-03-14,29.294,29.294,29.192,29.206,9965
2018-03-15,29.246,29.269,29.057,29.143,13614
2018-03-16,29.159,29.185,29.008,29.128,0
2018-03-19,29.118,29.225,29.11,29.172,9910
2018-03-20,29.172,29.183,29.054,29.157,10710
2018-03-21,29.167,29.225,29.074,29.086,12478
2018-03-22,29.106,29.238,29.074,29.192,11787
2018-03-23,29.203,29.227,29.072,29.192,0
2018-03-26,29.192,29.2,29.032,29.093,9216
2018-03-27,29.107,29.218,29.017,29.197,11203
2018-03-28,29.192,29.218,29.113,29.152,11047
2018-03-29,29.168,29.224,29.095,29.119,10368
2018-03-30,29.127,29.172,28.982,29.093,0
2018-04-02,28.989,29.171,28.976,29.143,3639
2018-04-03,29.159,29.18,29.096,29.141,10483
2018-04-04,29.131,29.288,29.122,29.183,10586
2018-04-05,29.192,29.29,29.157,29.252,8711
2018-04-06,29.252,29.349,29.23,29.317,0
2018-04-09,29.33,29.335,29.17,29.255,11084
2018-04-10,29.261,29.274,29.173,29.19,11489
2018-04-11,29.193,29.245,29.145,29.203,10067
2018-04-12,29.213,29.351,29.191,29.298,11843
2018-04-13,29.319,29.371,29.271,29.324,0
2018-04-16,29.283,29.455,29.283,29.359,9201
2018-04-17,29.374,29.441,29.341,29.365,10841
2018-04-18,29.364,29.385,29.293,29.3,10230
2018-04-19,29.311,29.414,29.293,29.399,10055
2018-04-20,29.392,29.535,29.346,29.466,0
2018-04-23,29.401,29.657,29.401,29.609,9551
2018-04-24,29.612,29.658,29.556,29.626,11948
2018-04-25,29.636,29.778,29.599,29.692,12320
2018-04-26,29.72,29.748,29.626,29.659,11769
2018-04-27,29.655,29.729,29.527,29.566,0
2018-04-30,29.559,29.655,29.514,29.639,9377
2018-05-01,29.65,29.727,29.614,29.682,4073
2018-05-02,29.67,29.879,29.638,29.793,14774
2018-05-03,29.805,29.826,29.643,29.684,14083
2018-05-04,29.668,29.7299,29.6361,29.6701,12688
2018-05-07,29.665,29.8574,29.6632,29.8123,8407
2018-05-08,29.825,29.825,29.7228,29.7977,13911
2018-05-09,29.81,29.9516,29.7848,29.9166,14631
2018-05-10,29.917,29.9592,29.7071,29.709,15963
2018-05-11,29.708,29.8248,29.6596,29.747,13533
2018-05-14,29.669,29.8157,29.667,29.8104,11356
2018-05-15,29.792,29.951,29.7285,29.9112,14491
2018-05-16,29.909,29.9536,29.8312,29.8397,13871
2018-05-17,29.838,29.9449,29.8057,29.9367,13497
2018-05-18,29.933,29.9657,29.889,29.9329,13383
2018-05-21,29.915,30.034,29.8763,29.8775,11885
2018-05-22,29.877,29.9528,29.8368,29.8698,8848
