date,title,text,匯銀主管
2019/3/9,外資賣超110億 股匯雙殺,"國際經濟走弱，美元轉強，外資昨（8）日大舉賣超台股110億元後匯出估約3~5億美元，造成台北股匯雙殺：台股下跌69點收10,241點；新台幣匯率終場貶值3.3分收30.902元，連五日貶值，為逾三個月新低。

法人指出，下周股匯走勢端視外資動向，美中貿易談判、美股與美元走勢是重要觀察指標；法人作╱結帳動作，亦是台股能否守穩月線支撐的重要關鍵。

昨日台股受到多重國際利空影響，包括美股走跌、美元轉強、華為控告美國政府干擾美中貿易談判、陸股重挫，加上大陸2月出口年減大幅低於預期，主要亞股均感染景氣下滑氛圍走弱，外資在台股因此擴大賣超至110億元，為去年12月7日以來單日最多，主要砍殺晶圓雙雄、大型金控，以及鴻海、台泥等大型權值股，盤中一度下跌107點並跌破月線10,208點；外資並在台指期淨多單減少2,593口，至56,200口。

政府相關資金則進場低接，包括八大公股行庫買超19億元，敲進標中壽、南茂、新光金、旺宏、中信金等，使得台股跌幅收斂，終場下跌69點收10,241點，力守月線，成交量較前日略減至1,057億元。統計本周外資累計賣超192億元，也終止連七周買超趨勢，八大公股行庫則連五買，累計買超78億元。

新台幣匯率本周則是天天貶，累計全周貶值1.27角，貶幅0.41%，周線終結連兩升。匯銀主管指出，外資大賣台股110億元後匯出資金，是昨天股匯雙殺的主因；壽險業基於海外投資需求，也加入了買匯行列。不過，新台幣匯率貶值幅度相對有限，終場僅貶值3.3分，主要是出口商見到許久未見的30.9元價位，隨即蜂擁進場拋匯，限縮了新台幣匯率的貶幅。

台股後市上，富邦投顧董事長蕭乾祥分析，外資連二個月大幅回補後，預期3月較不易出現大進大出，即使調節也不至於大幅賣超，但須留意漲多的半導體、蘋概或光學等權重較大強勢股，一旦轉弱，恐壓抑指數表現空間。

台新投顧副總經理黃文清指出，下周要觀察外資是否擴大賣超、美中貿易談判後續消息、美股可否重回月線，以及法人作帳、結帳動作等四大關鍵，由於市場焦點重回基本面，上市櫃公司前2月營收驚喜不多下，使台股提前轉弱，3月底前再創高點機會不高。",外資大賣台股110億元後匯出資金，是昨天股匯雙殺的主因；壽險業基於海外投資需求，也加入了買匯行列。不過，新台幣匯率貶值幅度相對有限，終場僅貶值3.3分，主要是出口商見到許久未見的30.9元價位，隨即蜂擁進場拋匯，限縮了新台幣匯率的貶幅
2019/3/3,台幣有撐 本周看升,"新台幣對美元匯率連三升，27日小升0.8分，收30.775元，兩大外匯經紀公司成交額12.41億美元。上周新台幣升值4.8分，升幅0.16%。

資深匯銀主管指出，出口商月底積極拋匯，加上外資偏匯入，是新台幣匯率連續走揚主因，不過壽險業者大量買匯，壓抑新台幣升幅。

外匯交易員表示，美元走弱、亞幣走揚，加上外資匯入等，短期新台幣仍有機會走升，且月底出口商拋匯需求，更替新台幣帶來支撐力道。",資深匯銀主管指出，出口商月底積極拋匯，加上外資偏匯入，是新台幣匯率連續走揚主因，不過壽險業者大量買匯，壓抑新台幣升幅。
2019/2/24,台幣交投冷 拚突圍,"台北匯市昨（23）日獨家開市，交投冷清，新台幣終場微貶0.1分，收30.823元，兩大外匯市場總成交量僅1.44億美元。新台幣兌美元上周升值2.7分，升幅0.09%。

匯銀主管分析，本周將密切關注聯準會主席鮑爾國會聽證，以及美中貿易談判進展。

匯銀主管表示，若鮑爾會中釋出較明確訊息，或美中有突破性進展，台幣或許有機會突破僵局。","匯銀主管分析，本周將密切關注聯準會主席鮑爾國會聽證，以及美中貿易談判進展。

匯銀主管表示，若鮑爾會中釋出較明確訊息，或美中有突破性進展，台幣或許有機會突破僵局。"
2019/2/17,新台幣開春補貶,"豬年匯市開紅盤首周，主要亞幣多數貶值，新台幣也跟隨國際趨勢貶值1.05角，累計貶值幅度為0.34%。上周五（15日）貶1.7分，收30.85元，成交量10.09億美元。

受國際美元轉強影響，新台幣匯率上周走勢每況愈下，不論台股漲還是跌，新台幣匯率幾乎天天貶。匯銀主管表示，農曆長假期間美元強勢翻漲，新台幣匯率上演落後補貶戲碼。",匯銀主管表示，農曆長假期間美元強勢翻漲，新台幣匯率上演落後補貶戲碼。
2019/2/13,外資熱錢 這回沒進場,"中央銀行受財政部委託定期標售國庫券，從國庫券的標售概況，可以觀察出幾項重點，一是國內金融市場的資金鬆緊程度，二是熱錢在台停留的意願高不高。

央行昨日標售273天期國庫券，得標利率略低於市場預期，落於0.47%，相較去年1月底發行的同天期國庫券，得標利率上漲7.8個基本點，買盤都來自國內銀行，而非外資，也就是說，目前國內熱錢水位較去年初略為下降，主因是外資對國庫券的需求降低不少，對國庫券標售，是內資熱、外資較冷。

「過去國庫券標售利率都很低，主因天期短、不到一年，外資會買來停泊手頭上的餘裕資金，所以最大買家一向是外銀」，匯銀主管說。

因此在外資熱錢大舉匯入時，國庫券得標利率常常創下新低，因為外資為停泊資金，會不惜壓低利率競標。

債券商主管說，通常國庫券的得標利率攀升，若不是國內資金緊俏，或預期央行將升息，就代表外資在台停留的資金水位已經下降，才會導致買氣不如過去暢旺。",過去國庫券標售利率都很低，主因天期短、不到一年，外資會買來停泊手頭上的餘裕資金，所以最大買家一向是外銀」，匯銀主管說。
2019/2/13,外資壽險對作 台幣爆量貶,"受到國際美元走強，及壽險業基於海外投資需求大買美元影響，台北股匯走勢持續脫鉤，新台幣匯率昨（12）日連三貶，終場貶值2.2分，收30.831元，為逾半個月新低，匯市交投熱絡，總成交量飆上16.455億美元。

資深匯銀主管指出，外資昨日延續前日劇本，早盤跟隨國際盤買進美元，午後再轉為淨匯入，不過匯入金額仍舊不大，反倒是國內壽險業大買美元，使新台幣匯率欲振乏力，連三日貶值。

「有些外資因國際美元走強而匯出資金，另一派則是為投資台股而匯入新資金」，匯銀主管說。

台北匯市昨日午後便上演外資與壽險業對作的盛況，雙方一賣一買、你來我往，使得總成交量衝破16億美元。

對於台北股匯走勢連兩日脫鉤，央行外匯局局長顏輝煌解釋，「匯市不是只有外資，也有國際盤因素」，他指出，2月1日以來，國際美元漲了很多，這兩天美元比較強、亞幣趨貶，截至11日為止，美元指數累計上漲1.55%。

至於外資連兩日大買台股，究竟是匯入的新資金，還是先前停泊在台灣的舊資金？顏輝煌回應，「這兩天外資還是有匯入」，不過外資在匯市一直有進有出，央行會密切關注外資動向。

顏輝煌表示，影響匯市的主因除了外資，還有國內進出口商與金融機構、個人海外投資匯出款等，且外資的買賣匯力道，其實還比不上國內的進出口商，只是外資力道比較集中。

顏輝煌還說，國際金融市場不確定性因素仍多，例如美中貿易談判、英國脫歐進展等，很多國家的經貿政策不確定性很高。

此外，市場研判，美國3月升息的機率很低，但先前公布的非農就業數據不錯，加上歐盟下修經濟成長，顯示其他國家的經濟表現仍舊不佳，是美元得以維持強勢的主因之一。","資深匯銀主管指出，外資昨日延續前日劇本，早盤跟隨國際盤買進美元，午後再轉為淨匯入，不過匯入金額仍舊不大，反倒是國內壽險業大買美元，使新台幣匯率欲振乏力，連三日貶值。

「有些外資因國際美元走強而匯出資金，另一派則是為投資台股而匯入新資金」，匯銀主管說。
"
2019/2/12,台股重返萬點 金豬好兆頭,"台股金豬年開紅盤，外資大買逾百億元，昨天終場指數以一萬零四點做收，上漲七十一點，成交量能擴增至逾一千三百億元，價漲量增為金豬年討得好兆頭；不過昨天新台幣匯率盤中一度重貶近一角，終場貶值六點四分，凸顯外資仍未實際匯入，成為開春上萬點背後的隱憂。

台股權王台積電昨天獲外資買盤回籠加持，與股王大立光合力扮演台股收復萬點的要角。台積電昨天單日市值大增一八一五億元，重回五點九兆元；大立光單日市值大增二六一點五億元，總市值達五三三二億元。

昨天加權指數一度來到一萬零六十五點反彈新高、大漲一三三點，雖隨八大公股行庫全場賣超二十七億元，加上中實戶、投信的獲利了結也賣壓陸續出籠，壓抑大盤漲勢，但終場指數仍站穩萬點大關。

其中，外資大舉買超一百三十點四一億元，為今年以來第二大買超單日，投信則逢高獲利了結，賣超一點一八億元，自營商買超十九點四三億元，三大法人合計買超一四八點七四億元。

儘管豬年順利開紅盤，但投資人「一則以喜，一則以憂」，喜的是台股順利重返萬點大關，憂的是股匯走勢明顯脫鉤，昨天新台幣匯率盤中一度重貶近一角，終場貶值六點四分，收在三十點八_九元，台北外匯經紀公司成交量八點九六億美元。由於新台幣貶值代表外資並未明顯匯入，匯銀主管擔心，台股上萬點會不會只是曇花一現？

大慶投顧總經理賴建承表示，昨天雖有業內、實戶逢高調節，主要是著眼於全球經濟景氣下修、美中貿易戰後續發展仍存有疑慮，但觀察技術面多頭架構仍在，後市只要量能不再急速失溫，或是拉回季線有守，波段上攻半年線一_一三八點的機率仍在。

台新投顧總經理李鎮宇預期，中下旬台積電正式揭開今年的股利行情序幕，在各公司將透露今年業績展望與股利水準下，高現金殖利率股、法人提前卡位的法說股，將是近期行情值得留意的標的。",台北外匯經紀公司成交量八點九六億美元。由於新台幣貶值代表外資並未明顯匯入，匯銀主管擔心，台股上萬點會不會只是曇花一現？
2019/2/12,外資兩手策略 台幣爆量收貶,"股、匯市昨（11）日開紅盤，外資大玩兩手策略，早盤先積極匯出，新台幣匯率盤中一度貶值近1角，後因台股上漲並站上萬點大關，外資反手匯入，新台幣貶值金額收斂至6.4分，收30.809元，總成交量擴大至14.37億美元。

證交所資料顯示，外資昨日買超台股130億元，指數順利站上萬點大關，匯銀人士表示，新台幣匯率卻與台股走勢脫鉤，盤中一度貶值近1角，讓投資人深感憂慮、「背後涼涼的」，擔心台股萬點行情僅曇花一現。

資深匯銀主管指出，台股上漲、外資買超，新台幣匯率卻逆勢貶值，主要是農曆春節期間，美元上漲，外資昨天一早便積極回補美元匯出，屬於「落後補貶」。

不過情況在午後丕變，因外資加碼台股逾130億元、股價指數重返萬點，外資也由匯出轉為匯入，使得新台幣貶值收斂。

展望後市，匯銀主管認為，新台幣匯率短期內仍將位於30.7~30.9元區間盤整。

外資昨天加碼台股逾130億元，匯銀主管認為，這些買股的錢，並非由海外匯入的新資金，而是年前就停泊在台灣的舊資金，且目前看起來，外資大舉匯入的跡象仍不顯著，預料台股短期內很可能會在萬點附近震盪。

匯銀主管認為，新台幣與美元的利差大，外資若匯入，要犧牲不少成本。這可能是外資匯入並不積極的主因。

匯銀主管還說，外資昨天早晚操作不同調，早盤匯出、午後轉呈匯入，不過從新台幣匯率收盤貶值逾6分看來，外資匯出力道略大於匯入。

匯銀主管認為，美中貿易談判、英國脫歐進展以及美國聯準會升息時程，為影響新台幣匯率最重要的三大變數，即使美國總統川普聲稱，不會在3月1日前與中國國家主席習近平會面，但雙方會通電話，「有熱線就有進展機會」，市場屏息以待。

匯銀主管說，除英國脫歐進展外，美國、歐洲與澳洲目前看起來貨幣政策都偏「鴿」，且外資並未明顯「錢」進亞洲新興市場，以此研判，新台幣匯率要大幅升值並不容易，估計短期內將維持偏弱整理格局。
","資深匯銀主管指出，台股上漲、外資買超，新台幣匯率卻逆勢貶值，主要是農曆春節期間，美元上漲，外資昨天一早便積極回補美元匯出，屬於「落後補貶」。

不過情況在午後丕變，因外資加碼台股逾130億元、股價指數重返萬點，外資也由匯出轉為匯入，使得新台幣貶值收斂。

展望後市，匯銀主管認為，新台幣匯率短期內仍將位於30.7~30.9元區間盤整。

外資昨天加碼台股逾130億元，匯銀主管認為，這些買股的錢，並非由海外匯入的新資金，而是年前就停泊在台灣的舊資金，且目前看起來，外資大舉匯入的跡象仍不顯著，預料台股短期內很可能會在萬點附近震盪。

匯銀主管認為，新台幣與美元的利差大，外資若匯入，要犧牲不少成本。這可能是外資匯入並不積極的主因。

匯銀主管還說，外資昨天早晚操作不同調，早盤匯出、午後轉呈匯入，不過從新台幣匯率收盤貶值逾6分看來，外資匯出力道略大於匯入。

匯銀主管認為，美中貿易談判、英國脫歐進展以及美國聯準會升息時程，為影響新台幣匯率最重要的三大變數，即使美國總統川普聲稱，不會在3月1日前與中國國家主席習近平會面，但雙方會通電話，「有熱線就有進展機會」，市場屏息以待。

匯銀主管說，除英國脫歐進展外，美國、歐洲與澳洲目前看起來貨幣政策都偏「鴿」，且外資並未明顯「錢」進亞洲新興市場，以此研判，新台幣匯率要大幅升值並不容易，估計短期內將維持偏弱整理格局。"
2019/2/11,台股開紅盤 行情看好,"金豬年今天開紅盤，台股春節休市期間，美股道瓊指數漲逾五百點，科技、半導體股漲幅更大，法人皆看好台股補漲紅包行情。由於狗年封關加權指數收九九三二點，不排除金豬年開紅盤指數有機會重回萬點大關。

美股雖然近日震盪走弱，但統計台股一月卅日狗年封關後，國際股市無重大利空，累計這段期間美股道瓊指數漲五二六點、標準普爾五百指數漲六十七點、那斯達克指數漲二六九點，漲幅介於百分之二到三之間，費城半導體指數更勁揚百分之四點五，法人預料對台股開紅盤將帶來助益。

值得注意的是，台股精神指標台積電ＡＤＲ（美國存託憑證）在台股休市期間累計漲幅達百分之四點_一，顯示春節前相繼釋出的首季營運不如預期、南科十四廠爆製程瑕疵等利空鈍化，法人樂觀預期台積電可望成為帶領台股補漲的多頭指標，有機會成為年後紅包行情的推手。

另根據統計，過去十二年春節後開紅盤日台股表現不差，自二__七年至二_一八年間，有八年上漲、四年下跌，尤以去年（狗年）開紅盤日上漲百分之二點八一居冠，一周內漲幅更達百分之三點七八。法人指出，金豬年開紅盤仍可見到外資回補，若由台積電等權值股表態，重返萬點大關，短線甚至有機會挑戰一萬零一百點半年線。

華南投顧董事長儲祥生表示，受惠於美股已累積不少漲幅，且年前觀望資金將開始回流，預料今天台股開紅盤一定上揚，且漲幅至少可達百分之一至一點五，大盤短線可望順利攻上萬點，長線仍要觀察美中貿易戰後續效應。台新投顧總經理李鎮宇指出，美股財報相對樂觀，蘋果財報大致符合預期，科技指標股多數上漲，加上聯準會對升息態度趨緩，若暫停升息，資金可望回流新興市場，更有利台股資金動能。

柏瑞巨人基金經理人高豪志表示，著眼於部分電子股已經回溫，觀察指標性的電子龍頭股雖然財測不佳，但預期股價已先行反映這些利空，可持續觀察未來是否有觸底回升的跡象。至於產業方面，持續看好內需消費如機能服飾等、電動車等概念股，這些產業中長線仍值得期待。

台幣兌美元 恐狹幅盤整

【記者陳美君╱台北報導】豬年匯市今天開紅盤，資深匯銀主管分析，春節連假期間，市場因擔心全球經濟成長疲軟，紛紛買入美元避險，使美元指數表現強勢，為六個月來最強的一周；美元走強，不利亞洲貨幣走勢，台幣等亞洲貨幣短期內恐怕缺乏大幅升值或貶值的條件，推估台幣兌美元今天偏弱盤整機率高，短期內震盪區間為卅點六至卅點九元。

匯銀主管認為，影響台幣匯率最重要的兩項變數，就是美中貿易談判，以及英國脫歐進展，但目前為止，這國際金融市場兩件大事仍懸而未決，預料台幣匯率開紅盤，將維持狹幅盤整格局。

匯銀主管說，近期台幣走勢很特別，以往台幣匯率會跟隨人民幣等亞洲貨幣波動，但前段時間即使人民幣匯率重貶，台幣卻還是文風不動。匯銀主管說，主因是外資近期在台灣的動向不明，既未大舉匯出，也沒見明顯匯入潮，因此豬年的台北匯市走向，還是深受外資動向牽動。","豬年匯市今天開紅盤，資深匯銀主管分析，春節連假期間，市場因擔心全球經濟成長疲軟，紛紛買入美元避險，使美元指數表現強勢，為六個月來最強的一周；美元走強，不利亞洲貨幣走勢，台幣等亞洲貨幣短期內恐怕缺乏大幅升值或貶值的條件，推估台幣兌美元今天偏弱盤整機率高，短期內震盪區間為卅點六至卅點九元。

匯銀主管認為，影響台幣匯率最重要的兩項變數，就是美中貿易談判，以及英國脫歐進展，但目前為止，這國際金融市場兩件大事仍懸而未決，預料台幣匯率開紅盤，將維持狹幅盤整格局。

匯銀主管說，近期台幣走勢很特別，以往台幣匯率會跟隨人民幣等亞洲貨幣波動，但前段時間即使人民幣匯率重貶，台幣卻還是文風不動。匯銀主管說，主因是外資近期在台灣的動向不明，既未大舉匯出，也沒見明顯匯入潮，因此豬年的台北匯市走向，還是深受外資動向牽動。"
2019/2/11,三投顧董總 樂觀看台股,"台股春節封關期間，美股四大指數均上漲，漲勢相對落後的台股，法人紛紛預期金豬年可望開出紅盤；匯市方面，匯銀主管則預期，將維持狹幅盤整格局。對於金豬年台股開紅盤，財金官員希望能有好彩頭；華航罷工事件，金管會及財政部均認為屬單一事件，對今天台股開盤影響不大。

隨市場期待補漲行情，財金官員也希望能有好彩頭。如財政部次長兼國安基金執行秘書阮清華表示，當然希望如此，過年能有好彩頭；金管會主委顧立雄則預祝投資人新的一年在理財投資都能有豐碩的成果。

針對今（11）日金豬年台股開紅盤日，台新投顧總經理李鎮宇指出，美股四大指數於春節封關期間漲幅均逾2%，且蘋果、台積電ADR也紛紛大漲。隨著美股四大指數與指標股強勢表態，將成為今日台股上衝萬點大關的要角。

華南永昌投顧董事長儲祥生也對開紅盤行情表示樂觀，因為美股仍走多頭，多數指標股財報也符合市場預期，加上美中貿易談判緩解機會高，都有利市場信心，進而激勵台股向上攻堅。

富邦投顧董事長蕭乾祥對開紅盤行情抱持中性樂觀看法，並預期今年指數高點10,500點就可能落在第1季。去年底指數已先行下壓，雖今年企業獲利恐較2018年略減，但還不到負成長的地步，因此開紅盤日可望迎來反彈。
",匯市方面，匯銀主管則預期，將維持狹幅盤整格局。對於金豬年台股開紅盤，財金官員希望能有好彩頭；華航罷工事件，金管會及財政部均認為屬單一事件，對今天台股開盤影響不大
